ZIP Code,Income
90001,43360.0
90002,37285.0
90003,40598.0
90004,49675.0
90005,38491.0
90006,37072.0
90007,27406.0
90008,43364.0
90010,63112.0
90011,40940.0
90012,47027.0
90013,22316.0
90014,40641.0
90015,43890.0
90016,48715.0
90017,35605.0
90018,45984.0
90019,56389.0
90020,49068.0
90021,21635.0
90022,46051.0
90023,42972.0
90024,65855.0
90025,87280.0
90026,65269.0
90027,66947.0
90028,45499.0
90029,41998.0
90031,48479.0
90032,57225.0
90033,38266.0
90034,75714.0
90035,89337.0
90036,80539.0
90037,35424.0
90038,47116.0
90039,90538.0
90040,47120.0
90041,85971.0
90042,64267.0
90043,54729.0
90044,35981.0
90045,104578.0
90046,72266.0
90047,52605.0
90048,100586.0
90049,129688.0
90056,92656.0
90057,37700.0
90058,21964.0
90059,44838.0
90061,42500.0
90062,49443.0
90063,48559.0
90064,102117.0
90065,67479.0
90066,83899.0
90067,118393.0
90068,88535.0
90069,93380.0
90071,61875.0
90077,209531.0
90094,155417.0
90201,44046.0
90210,147270.0
90211,86437.0
90212,95080.0
90220,57074.0
90221,51377.0
90222,49894.0
90230,85524.0
90232,90467.0
90240,86383.0
90241,72715.0
90242,71233.0
90245,109577.0
90247,55561.0
90248,61448.0
90249,60669.0
90250,56304.0
90254,136702.0
90255,44962.0
90260,65340.0
90262,52313.0
90265,152378.0
90266,153023.0
90270,44124.0
90272,192500.0
90274,169919.0
90275,138293.0
90277,106185.0
90278,116783.0
90280,52321.0
90290,129772.0
90291,99652.0
90292,114726.0
90293,105865.0
90301,47464.0
90302,51850.0
90303,55897.0
90304,49120.0
90305,80165.0
90401,82681.0
90402,154583.0
90403,107420.0
90404,78542.0
90405,95674.0
90501,71712.0
90502,73826.0
90503,93063.0
90504,90210.0
90505,99764.0
90601,76732.0
90602,55216.0
90603,103535.0
90604,74944.0
90605,78297.0
90606,74986.0
90631,83629.0
90638,95723.0
90640,56009.0
90650,70667.0
90660,67636.0
90670,71343.0
90701,67765.0
90703,105832.0
90704,73287.0
90706,60011.0
90710,63907.0
90712,96634.0
90713,102970.0
90715,76105.0
90716,50149.0
90717,71388.0
90723,55670.0
90731,53456.0
90732,104567.0
90740,68947.0
90744,50875.0
90745,80176.0
90746,89364.0
90755,75426.0
90802,54616.0
90803,90278.0
90804,52948.0
90805,50914.0
90806,54437.0
90807,78948.0
90808,110625.0
90810,60227.0
90813,38449.0
90814,73391.0
90815,94559.0
91001,101061.0
91006,103224.0
91007,83964.0
91008,96500.0
91010,74738.0
91011,175652.0
91016,77622.0
91020,67742.0
91024,100988.0
91030,104432.0
91040,86594.0
91042,64532.0
91101,70075.0
91103,71231.0
91104,77919.0
91105,131158.0
91106,82211.0
91107,102850.0
91108,165765.0
91201,60101.0
91202,75703.0
91203,61071.0
91204,49122.0
91205,44835.0
91206,70141.0
91207,85956.0
91208,108374.0
91210,135741.0
91214,104981.0
91301,124012.0
91302,133996.0
91303,61250.0
91304,70505.0
91306,69917.0
91307,120474.0
91311,91897.0
91316,76978.0
91321,73187.0
91324,80260.0
91325,71400.0
91326,117590.0
91331,63807.0
91335,63748.0
91340,57398.0
91342,74050.0
91343,66661.0
91344,96162.0
91345,77273.0
91350,117707.0
91351,81758.0
91352,57145.0
91354,128308.0
91355,95696.0
91356,76929.0
91361,119303.0
91362,117566.0
91364,106225.0
91367,96085.0
91381,135357.0
91384,112122.0
91387,98371.0
91390,120617.0
91401,53882.0
91402,45796.0
91403,104802.0
91405,47037.0
91406,59472.0
91411,58605.0
91423,90931.0
91436,174085.0
91501,67817.0
91502,47148.0
91504,83994.0
91505,87138.0
91506,81597.0
91601,53911.0
91602,84008.0
91604,111341.0
91605,50623.0
91606,50155.0
91607,71691.0
91702,68852.0
91706,65755.0
91711,101270.0
91722,80089.0
91723,64422.0
91724,82976.0
91731,42293.0
91732,51268.0
91733,50691.0
91740,85590.0
91741,110430.0
91744,71243.0
91745,85975.0
91746,70825.0
91748,74438.0
91750,89360.0
91754,63909.0
91755,58411.0
91759,71042.0
91765,100480.0
91766,59819.0
91767,62153.0
91768,56002.0
91770,59776.0
91773,86201.0
91775,86415.0
91776,58658.0
91780,75672.0
91789,101841.0
91790,82128.0
91791,84530.0
91792,82954.0
91801,60519.0
91803,63264.0
93510,105714.0
93532,64969.0
93534,41537.0
93535,46600.0
93536,79990.0
93543,51719.0
93544,43913.0
93550,45918.0
93551,93055.0
93552,65728.0
93553,51630.0
93591,47453.0
